Organisation Name,NACS Code,Organisation Type,Address1,Address2,Address3,Address4,Address5,PostCode,Telephone Number,NHS.UK users rating,Value  (NHS.UK users rating),Banding Classification  (NHS.UK users rating),Registered patients,Value  (Registered patients),Banding Classification  (Registered patients),Electronic prescription service,Value  (Electronic prescription service),Banding Classification  (Electronic prescription service),Weekday evening and weekend appointments offered here or nearby,Value  (Weekday evening and weekend appointments offered here or nearby),Banding Classification  (Weekday evening and weekend appointments offered here or nearby),Online appointment booking,Value  (Online appointment booking),Banding Classification  (Online appointment booking),Order or view repeat prescriptions online,Value  (Order or view repeat prescriptions online),Banding Classification  (Order or view repeat prescriptions online),Car parking (Is there car parking at this organisation?)
Rydal Group Practice,F86012,GPB,375,High Road,,Woodford Green,Essex,IG8 9QJ,Tel: 02085040532,23 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F86012,,,10616 patients,10616,,,Yes,yes,YES Contact practice for appointment availability,YES,, Online appointment booking is not yet available,,no,15.28% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,15.28%,yes,no
Faircross Health Centre,F82027,GPB,51 Upney Lane,,,Barking,Essex,IG11 9LD,Tel: 02085943667,5 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F82027,,,2377 patients,2377,,,Yes,yes,YES Contact practice for appointment availability,YES,,2.31% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,2.31%,yes,2.31% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,2.31%,yes,yes
Jai Medical Centre (Hendon),E83038001,GPB,42 Station Road,Hendon,,London,Greater London,NW4 3SU,Tel: 03000337860,3 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E83038001,,,8446 patients,8446,,,Yes,yes,YES Contact practice for appointment availability,YES,,17.39% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,17.39%,yes,17.68% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,17.68%,yes,
Barking Medical Group Practice,F82018,GPB,130 Upney Lane,,,Barking,Essex,IG11 9LT,Tel: 02084774317,5 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F82018,,,11358 patients,11358,,,Yes,yes,YES Contact practice for appointment availability,YES,,19.49% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,19.49%,yes,10.93% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,10.93%,yes,yes
Latymer Road Surgery,F85663,GPB,2A Latymer Road,Edmonton,,London,Greater London,N9 9PU,Tel: 02088075363,31 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F85663,,,4559 patients,4559,,,Yes,yes,YES Contact practice for appointment availability,YES,,14.93% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,14.93%,yes,14.93% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,14.93%,yes,
Danebury Avenue Surgery,H85067,GPB,351 Danebury Avenue,Roehampton,,London,Greater London,SW15 4DU,Tel: 02033704723,3 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=H85067,,,3111 patients,3111,,,Yes,yes,YES Contact practice for appointment availability,YES,,19.96% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,19.96%,yes,19.86% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,19.86%,yes,yes
Crown Street Surgery,E85019,GPB,2 Lombard Court,Crown Street,,London,Greater London,W3 8SA,Tel: 02089922010,19 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E85019,,,8816 patients,8816,,,Yes,yes,YES Contact practice for appointment availability,YES,,28.25% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,28.25%,yes,28.23% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,28.23%,yes,yes
Highgrove Surgery,F82680,GPB,Barking Community Hospital,Upney Lane,,Barking,Essex,IG11 9LX,Tel: 02038174117,19 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F82680,,,8131 patients,8131,,,Yes,yes,YES Contact practice for appointment availability,YES,,29.11% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,29.11%,yes,29.08% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,29.08%,yes,yes
Keats Surgery,F85010,GPB,290A Church Street,Edmonton,,London,Greater London,N9 9HJ,Tel: 02088072051,7 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F85010,,,5099 patients,5099,,,Yes,yes,YES Contact practice for appointment availability,YES,,16.37% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,16.37%,yes,16.35% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,16.35%,yes,yes
Wellesley Road Practice,E85692,GPB,7 Wellesley Road,Chiswick,,London,Greater London,W4 4BJ,Tel: 02086301666,21 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E85692,,,7706 patients,7706,,,Yes,yes,YES Contact practice for appointment availability,YES,,75.32% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,75.32%,yes,75.33% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,75.33%,yes,no
The Mill Hill Surgery,E85107,GPB,111 Avenue Road,,,London,Greater London,W3 8QH,Tel: 02089929955,6 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E85107,,,7614 patients,7614,,,Yes,yes,YES Contact practice for appointment availability,YES,,29.42% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,29.42%,yes,29.22% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,29.22%,yes,yes
Country Park Practice,Y05317,GPB,3 Enmore Road,South Norwood,,London,Greater London,SE25 5NT,Tel: 02037640664,18 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=Y05317,,,7740 patients,7740,,,Yes,yes,YES Contact practice for appointment availability,YES,,2.72% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,2.72%,yes,2.72% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,2.72%,yes,yes
DENMARK ROAD SURGERY,Y05318,GPB,Woodside Health Centre,3 Enmore Road,South Norwood,London,Greater London,SE25 5NT,Tel: 02086548760,6 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=Y05318,,,6121 patients,6121,,,Yes,yes,YES Contact practice for appointment availability,YES,,6.36% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,6.36%,yes,6.36% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,6.36%,yes,yes
Dr Gs Kalkat's Practice,F82676,GPB,Bastable Avenue,,,Barking,Essex,IG11 0LG,Tel: 02085073056,27 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F82676,,,8785 patients,8785,,,Yes,yes,YES Contact practice for appointment availability,YES,,29.46% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,29.46%,yes,29.33% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,29.33%,yes,yes
Drs K & A John,F82042001,GPB,Bastable Avenue,,,Barking,Essex,IG11 0LG,Tel: 2085941177,9 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F82042001,,,9001 patients,9001,,,Yes,yes,YES Contact practice for appointment availability,YES,,51.22% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,51.22%,yes,51.21% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,51.21%,yes,
Portland Medical Centre,H83001,GPB,184 Portland Road,South Norwood,,London,Greater London,SE25 4QB,Tel: 02086621233,22 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=H83001,,,12146 patients,12146,,,Yes,yes,YES Contact practice for appointment availability,YES,, Online appointment booking is not yet available,,no,42.29% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,42.29%,yes,
Hendon Way Surgery ,Y03663,GPB,215 West Hendon Broadway,Hendon,,London,Greater London,NW9 7DG,Tel: 02081029830,16 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=89526,37.5,2.5,8839 patients,8839,,,Yes,yes,YES Contact practice for appointment availability,YES,,26.63% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,26.63%,yes,26.56% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,26.56%,yes,yes
Middlesex University Medical Centre,E83039001,GPB,Middlesex University,The Burroughs,,London,Greater London,NW4 4BT,Tel: 02082015818,No ratings yet Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=151810,0,0,6151 patients,6151,,,Yes,yes,N/A - Data not available,,,5.55% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,5.55%,yes,5.55% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,5.55%,yes,
FRANCIS GROVE SURGERY,H85026,GPB,8 Francis Grove,Wimbledon,,London,Greater London,SW19 4DL,Tel: 02089715640,12 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=H85026,,,14294 patients,14294,,,Yes,yes,YES Contact practice for appointment availability,YES,,50.62% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,50.62%,yes,50.44% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,50.44%,yes,
Primecare Eltham,G83673,GPB,81 William Barefoot Drive,,,London,Greater London,SE9 3JD,Tel: 02088571900,3 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G83673,,,5096 patients,5096,,,Yes,yes,YES Contact practice for appointment availability,YES,,16.92% of patients are signed up to this service  - https://www.patient-services.co.uk,16.92%,yes,16.92% of patients are signed up to this service  - https://www.patient-services.co.uk,16.92%,yes,yes
Coldharbour Surgery,G83003,GPB,79 William Barefoot Drive,Eltham,,London,Greater London,SE9 3JD,Tel: 02036750751,4 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G83003,,,5089 patients,5089,,,Yes,yes,YES Contact practice for appointment availability,YES,,24.35% of patients are signed up to this service  - https://www.patient-services.co.uk,24.35%,yes,24.35% of patients are signed up to this service  - https://www.patient-services.co.uk,24.35%,yes,
The Green House Surgery,F82612001,GPB,37 Cavendish Gardens,,,Barking,Essex,IG11 9DU,Tel: 02085944700,17 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F82612001,,,5768 patients,5768,,,Yes,yes,YES Contact practice for appointment availability,YES,,14.68% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,14.68%,yes,14.56% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,14.56%,yes,
The Mitcham Medical Centre.,H85024,GPB,81 Haslemere Avenue,,,Mitcham,Surrey,CR4 3PR,Tel: 02086483234,6 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=H85024,,,8843 patients,8843,,,Yes,yes,YES Contact practice for appointment availability,YES,,28.82% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,28.82%,yes,28.51% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,28.51%,yes,yes
Torrington Park Group Practice,E83021,GPB,The Health Centre,16 Torrington Park,North Finchley,London,Greater London,N12 9SS,Tel: 02036675030,51 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E83021,,,12383 patients,12383,,,Yes,yes,YES Contact practice for appointment availability,YES,,36.42% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,36.42%,yes,36.03% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,36.03%,yes,no
The Speedwell Practice,E83010,GPB,The Health Centre,16 Torrington Park,North Finchley,London,Greater London,N12 9SS,Tel: 02084457587,45 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E83010,,,11479 patients,11479,,,Yes,yes,YES Contact practice for appointment availability,YES,,33.87% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,33.87%,yes,33.12% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,33.12%,yes,
Cricket Green Medical Practice,H85038,GPB,75-79 Miles Road,,,Mitcham,Surrey,CR4 3DA,Tel: 02086480822,22 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=H85038,,,11519 patients,11519,,,Yes,yes,YES Contact practice for appointment availability,YES,,32.90% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,32.90%,yes,32.81% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,32.81%,yes,yes
Wimbledon Village Practice,H85027,GPB,35A High Street,Wimbledon,,London,Greater London,SW19 5BY,Tel: 02089462800,1 rating Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=H85027,,,12853 patients,12853,,,Yes,yes,YES Contact practice for appointment availability,YES,,26.12% of patients are signed up to this service  - https://www.patient-services.co.uk,26.12%,yes,26.12% of patients are signed up to this service  - https://www.patient-services.co.uk,26.12%,yes,
ST GEORGE'S MEDICAL CENTRE,E83020,GPB,7 Sunningfields Road,Hendon,,London,Greater London,NW4 4QR,Tel: 02082026232,23 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E83020,,,11642 patients,11642,,,Yes,yes,YES Contact practice for appointment availability,YES,,78.98% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,78.98%,yes,78.98% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,78.98%,yes,no
Campus Medical Centre,G83673003,GPB,25 Catherine Of Aragon Court,257 Avery Hill Road,,London,Greater London,SE9 2EU,Tel: 02083319680,3 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G83673003,,,5096 patients,5096,,,Yes,yes,YES Contact practice for appointment availability,YES,,16.92% of patients are signed up to this service  - https://www.patient-services.co.uk,16.92%,yes,16.92% of patients are signed up to this service  - https://www.patient-services.co.uk,16.92%,yes,
Grove Park Terrace Surgery,E85746,GPB,25 Grove Park Terrace,Chiswick,,London,Greater London,W4 3JL,Tel: 02086301680,7 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E85746,,,4234 patients,4234,,,Yes,yes,YES Contact practice for appointment availability,YES,,34.37% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,34.37%,yes,34.37% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,34.37%,yes,yes
Kenwood Medical,F86081,GPB,Kenwood Gardens,,,Ilford,Essex,IG2 6YG,Tel: 02085512341,22 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F86081,,,6223 patients,6223,,,Yes,yes,YES Contact practice for appointment availability,YES,,27.23% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,27.23%,yes,27.20% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,27.20%,yes,yes
Student Medical Centre,H85012001,GPB,Old Court,Froebel College,Roehampton Lane,London,Greater London,SW15 5JP,Tel: 02083923679,No ratings yet Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=39728,0,0,26686 patients,26686,,,Yes,yes,YES Contact practice for appointment availability,YES,,67.82% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,67.82%,yes,67.63% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,67.63%,yes,no
